Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,PC_02,PC_07a,PC_07b,SM_7,geo_lat,geo_lng
360001,MERCY HEALTH-ANDERSON HOSPITAL,7500 STATE ROAD,CINCINNATI,OH,45255,HAMILTON,(513) 624-4500,Not Available,Not Available,Not Available,Yes,39.0556,-84.3124
360002,UNIVERSITY HOSPITALS SAMARITAN MEDICAL CENTER,1025 CENTER ST,ASHLAND,OH,44805,ASHLAND,(419) 289-0491,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),,
360003,"UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC",3188 BELLEVUE AVENUE,CINCINNATI,OH,45219,HAMILTON,(513) 584-1000,Not Available,Not Available,Not Available,Yes,39.1256,-84.5074
360006,RIVERSIDE METHODIST HOSPITAL,3535 OLENTANGY RIVER RD,COLUMBUS,OH,43214,FRANKLIN,(614) 566-5000,Not Available,Not Available,Not Available,Yes,40.0456,-83.0157
360008,SOUTHERN OHIO MEDICAL CENTER,1805 27TH STREET,PORTSMOUTH,OH,45662,SCIOTO,(740) 356-5788,Not Available,Not Available,Not Available,Yes,38.7317,-82.9749
360009,LIMA MEMORIAL HEALTH SYSTEM,1001 BELLEFONTAINE AVENUE,LIMA,OH,45804,ALLEN,(419) 998-4731,Not Available,Not Available,Not Available,Yes,40.7617,-84.0874
360010,UNION HOSPITAL,659 BOULEVARD,DOVER,OH,44622,TUSCARAWAS,(330) 343-3311,Not Available,Not Available,Not Available,Yes,,
360011,MARION GENERAL HOSPITAL,1000 MCKINLEY PARK DRIVE,MARION,OH,43302,MARION,(740) 383-8400,Not Available,Not Available,Not Available,Yes,,
360012,MOUNT CARMEL ST ANN'S,500 SOUTH CLEVELAND AVENUE,WESTERVILLE,OH,43081,FRANKLIN,(614) 546-4034,Not Available,Not Available,Not Available,Yes,40.0967,-82.9327
360013,WILSON MEMORIAL HOSPITAL,915 WEST MICHIGAN STREET,SIDNEY,OH,45365,SHELBY,(937) 498-5405,Not Available,Not Available,Not Available,Yes,40.3289,-84.1524
360014,OHIOHEALTH O'BLENESS HOSPITAL,55 HOSPITAL DRIVE,ATHENS,OH,45701,ATHENS,(740) 593-5551,Not Available,Not Available,Not Available,Yes,39.3267,-82.1024
360016,THE JEWISH HOSPITAL-MERCY HEALTH,4777 EAST GALBRAITH ROAD,CINCINNATI,OH,45236,HAMILTON,(513) 686-3000,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),39.1906,-84.3974
360017,GRANT MEDICAL CENTER,111 SOUTH GRANT AVENUE,COLUMBUS,OH,43215,FRANKLIN,(614) 566-9164,Not Available,Not Available,Not Available,Yes,39.9656,-83.0007
360020,SUMMA HEALTH SYSTEM,525 EAST MARKET STREET,AKRON,OH,44309,SUMMIT,(330) 375-3000,Not Available,Not Available,Not Available,Yes,,
360025,FIRELANDS REGIONAL MEDICAL CENTER,1111 HAYES AVENUE,SANDUSKY,OH,44870,ERIE,(419) 557-7400,Not Available,Not Available,Not Available,Yes,41.4506,-82.7107
360026,KETTERING HEALTH GREENE MEMORIAL,1141 NORTH MONROE DRIVE,XENIA,OH,45385,GREENE,(937) 352-2000,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),39.7017,-83.9774
360027,AKRON GENERAL MEDICAL CENTER,1 AKRON GENERAL AVENUE,AKRON,OH,44307,SUMMIT,(330) 344-6000,Not Available,Not Available,Not Available,Yes,,
360029,WOOD COUNTY HOSPITAL,950 WEST WOOSTER STREET,BOWLING GREEN,OH,43402,WOOD,(419) 354-8900,Not Available,Not Available,Not Available,Yes,41.3756,-83.6407
360032,GRAND LAKE HEALTH SYSTEM,200 SAINT CLAIR STREET,SAINT MARYS,OH,45885,AUGLAIZE,(419) 394-3335,Not Available,Not Available,Not Available,Yes,,
360035,MOUNT CARMEL EAST & WEST,6001 EAST BROAD STREET,COLUMBUS,OH,43213,FRANKLIN,(614) 234-5000,Not Available,Not Available,Not Available,Yes,39.9506,-82.8457
360036,WOOSTER COMMUNITY HOSPITAL,1761 BEALL AVENUE,WOOSTER,OH,44691,WAYNE,(330) 263-8348,Not Available,Not Available,Not Available,Yes,,
360039,GENESIS HOSPITAL,2951 MAPLE AVENUE,ZANESVILLE,OH,43701,MUSKINGUM,(740) 454-5000,Not Available,Not Available,Not Available,Yes,,
360040,KNOX COMMUNITY HOSPITAL,1330 COSHOCTON ROAD,MOUNT VERNON,OH,43050,KNOX,(740) 393-9000,Not Available,Not Available,Not Available,Yes,40.4039,-82.4849
360041,PARMA COMMUNITY GENERAL HOSPITAL,7007 POWERS BOULEVARD,PARMA,OH,44129,CUYAHOGA,(440) 743-3000,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),41.3906,-81.7307
360046,MCCULLOUGH-HYDE MEMORIAL HOSPITAL,110 NORTH POPLAR STREET,OXFORD,OH,45056,BUTLER,(513) 523-2111,Not Available,Not Available,Not Available,Yes,39.5067,-84.7374
360048,UNIVERSITY OF TOLEDO MEDICAL CENTER,3000 ARLINGTON AVENUE,TOLEDO,OH,43614,LUCAS,(419) 383-3407,Not Available,Not Available,Not Available,Not Applicable (our hospital does not provide inpatient labor/delivery care),41.6256,-83.6007
360051,MIAMI VALLEY HOSPITAL,ONE WYOMING STREET,DAYTON,OH,45409,MONTGOMERY,(937) 208-3023,Not Available,Not Available,Not Available,Yes,39.7289,-84.1824
360054,HOLZER MEDICAL CENTER,100 JACKSON PIKE,GALLIPOLIS,OH,45631,GALLIA,(740) 446-5030,Not Available,Not Available,Not Available,Yes,,
360055,TRUMBULL REGIONAL MEDICAL CENTER,1350 EAST MARKET STREET,WARREN,OH,44482,TRUMBULL,(330) 841-9011,Not Available,Not Available,Not Available,Not Available,,
360056,MERCY HEALTH - FAIRFIELD HOSPITAL,3000 MACK ROAD,FAIRFIELD,OH,45014,BUTLER,(513) 870-7000,Not Available,Not Available,Not Available,Yes,39.4267,-84.4774
360058,MERCER COUNTY JOINT TOWNSHIP COMMUNITY HOSPITAL,800 WEST MAIN STREET,COLDWATER,OH,45828,MERCER,(419) 678-4843,Not Available,Not Available,Not Available,Yes,,
