zip,lat,lng,city,county
44114,41.515,-81.652,Cleveland,Cuyahoga
44195,41.503,-81.620,Cleveland,Cuyahoga
44106,41.506,-81.605,Cleveland,Cuyahoga
44109,41.448,-81.699,Cleveland,Cuyahoga
44308,41.078,-81.518,Akron,Summit
44304,41.081,-81.512,Akron,Summit
43214,40.037,-83.021,Columbus,Franklin
43205,39.951,-82.997,Columbus,Franklin
43213,39.963,-82.897,Columbus,Franklin
43215,39.962,-83.000,Columbus,Franklin
45219,39.125,-84.506,Cincinnati,Hamilton
45220,39.142,-84.527,Cincinnati,Hamilton
45202,39.103,-84.512,Cincinnati,Hamilton
43606,41.668,-83.559,Toledo,Lucas
43608,41.655,-83.545,Toledo,Lucas
45409,39.744,-84.207,Dayton,Montgomery
45404,39.756,-84.210,Dayton,Montgomery
45429,39.686,-84.163,Kettering,Montgomery
44710,40.784,-81.384,Canton,Stark
44708,40.824,-81.399,Canton,Stark
44504,41.095,-80.666,Youngstown,Mahoning
43160,39.540,-83.430,Smalltown,Fayette
43130,39.720,-82.599,Lancaster,Fairfield
43055,40.061,-82.435,Newark,Licking
43302,40.574,-83.158,Marion,Marion
45840,41.031,-83.651,Findlay,Hancock
43701,39.956,-82.013,Zanesville,Muskingum
